01.01.2015	62	83	27
01.02.2015	62	83	26
01.03.2015	61	83	25
01.04.2015	63	86	24
01.05.2015	63	87	26
01.06.2015	64	85	23
01.07.2015	63	87	23
01.08.2015	62	86	24
01.09.2015	63	85	24
01.10.2015	64	86	24
01.11.2015	61	86	23
01.12.2015	61	85	22
01.01.2016	63	84	22
01.02.2016	61	84	21
01.03.2016	65	83	22
01.04.2016	65	79	20
01.05.2016	64	81	24
01.06.2016	64	80	20
01.07.2016	68	80	21
01.08.2016	66	79	23
01.09.2016	66	80	23
01.10.2016	66	80	20
01.11.2016	67	81	20
01.12.2016	67	80	19
01.01.2017	67	82	20
01.02.2017	70	82	20
01.03.2017	67	85	20
01.04.2017	66	84	20
01.05.2017	70	86	20
01.06.2017	69	87	21
01.07.2017	71	86	18
01.08.2017	68	88	20
01.09.2017	67	87	17
01.10.2017	72	88	19
01.11.2017	72	89	19
01.12.2017	70	88	19
01.01.2018	69	87	20
01.02.2018	71	86	17
01.03.2018	73	85	18
01.04.2018	71	84	18
01.05.2018	73	82	18
01.06.2018	71	81	16
01.07.2018	72	80	18
01.08.2018	74	80	17
01.09.2018	72	80	18
01.10.2018	75	80	17
01.11.2018	74	83	17
01.12.2018	72	82	17
01.01.2019	75	83	15
01.02.2019	76	83	16
01.03.2019	77	85	14
01.04.2019	74	85	15
01.05.2019	75	87	15
01.06.2019	78	88	14
01.07.2019	78	90	16
01.08.2019	78	89	16
01.09.2019	75	91	14
01.10.2019	77	89	13
01.11.2019	75	90	14
01.12.2019	77	89	14
01.01.2020	80	88	13
01.02.2020	79	87	15
01.03.2020	79	86	13
01.04.2020	80	85	14
01.05.2020	81	86	11
01.06.2020	82	84	15
01.07.2020	81	83	13
01.08.2020	80	82	13
01.09.2020	82	82	12
01.10.2020	83	81	11
01.11.2020	80	84	13
01.12.2020	80	82	10
01.01.2021	82	84	13
01.02.2021	80	83	12
01.03.2021	85	85	11
01.04.2021	79	88	12
01.05.2021	84	89	10
01.06.2021	84	87	10
01.07.2021	82	90	9
01.08.2021	80	91	10
01.09.2021	81	91	9
01.10.2021	87	92	9
01.11.2021	82	93	11
01.12.2021	82	92	9
01.01.2022	82	91	8
01.02.2022	86	90	11
01.03.2022	83	89	11
01.04.2022	88	88	9
01.05.2022	86	89	7
01.06.2022	85	86	8
01.07.2022	88	85	7
01.08.2022	84	84	8
01.09.2022	90	84	8
01.10.2022	89	85	9
01.11.2022	89	85	8
01.12.2022	87	86	6
01.01.2023	86	83	6
01.02.2023	89	86	5
01.03.2023	91	87	6
01.04.2023	89	86	8
01.05.2023	91	88	7
01.06.2023	89	89	8
01.07.2023	91	91	5
01.08.2023	92	93	6
01.09.2023	91	92	7
01.10.2023	88	93	4
01.11.2023	93	94	7
01.12.2023	91	94	6
01.01.2024	95	93	7
01.02.2024	90	92	6
01.03.2024	90	91	3
01.04.2024	93	93	6
01.05.2024	95	90	6
01.06.2024	92	91	3
01.07.2024	92	90	4
01.08.2024	93	88	2
01.09.2024	96	87	3
01.10.2024	92	86	5
01.11.2024	96	87	5
01.12.2024	92	85	4
